"","ia_1ad","ia_2ad","ia_3ad","ia_4ad","ia_5ad","ia_6ad","ia_7men","ia_8men","ia_9men","ia_10men","ia_11men","ia_12men","plb_m","tot_integ"
"1",1,1,1,0,1,1,1,1,0,0,0,0,0,5
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6",1,0,1,0,0,0,0,0,0,0,0,0,0,5
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,5
"8",1,0,0,0,0,0,1,0,0,0,0,0,0,7
"9",1,0,1,0,0,0,1,1,1,0,0,0,0,5
"10",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"11",1,1,1,1,1,1,1,1,0,0,1,0,0,4
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"14",0,0,0,0,0,0,0,0,0,0,0,0,1,9
"15",1,1,1,0,1,1,1,1,1,1,1,1,0,8
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"22",1,0,1,0,0,0,1,0,0,0,0,0,0,5
"23",1,0,0,0,0,0,1,0,0,1,0,0,1,6
"24",1,1,0,0,1,0,1,0,1,0,0,0,1,4
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"26",1,0,1,0,0,0,1,1,1,0,0,0,0,5
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"28",0,0,0,0,0,0,0,0,0,0,0,0,1,9
"29",1,1,1,0,0,0,0,0,0,0,0,0,1,4
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,4
